team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef,teamcode,Team,CONF,DIV,GP,PPG,OPPPPG,AVGPTDIFF,PACE,oEFF,dEFF,EFFDIFF,SOS,SCHEDADJRATING,CONSISTENCYRATING,ADJ4FACTORS,WINS,LOSSES,WINPerc,EWINPerc,PROJWINPerc,AchievementLevel,Season,MIN,OffRtg,DefRtg,NetRtg,ASTPerc,ASTToTO,ASTRatio,OREBPerc,DREBPerc,REBPerc,TOVPerc,eFGPerc,TSPerc,PIE,Playoff
GSW,82,12,10.7,1.25,14.9,6.4,9.9,64.5,64.5,14,6.6,13.5,3.8,62.9,75.9,2015,cut,offense,GSW2015,GSW,West,Pacific,82,114.9,104.1,10.8,99.3,114.5,103.8,10.7,-1.58,9.12,12.9,0.141,73,9,0.89,0.856,0.797,0.093,2015,3976,113.5,102.8,10.6,68,1.91,20.4,26.7,72,50.7,15,56.3,59.3,56.7,1
MIL,82,11.8,11.1,1.16,13.7,5.6,9.4,59.1,59.1,16.8,7,15.6,3.4,59.3,10.3,2015,cut,offense,MIL2015,MIL,East,Central,82,99,103.2,-4.2,94.2,104.4,108.8,-4.4,0.93,-3.47,13.5,-0.024,33,49,0.402,0.362,0.372,0.03,2015,3966,103.4,107.8,-4.5,60.3,1.52,17.6,28.6,68.9,49,15.9,49.9,53.7,48.3,1
WAS,82,9.5,8.8,1.22,11.6,4.9,7.8,62.1,62.1,15.3,6.1,14.3,3.6,61.7,41.4,2015,cut,offense,WAS2015,WAS,East,Southeast,82,104.1,104.6,-0.5,98.4,105.4,105.9,-0.5,0.6,0.1,14.8,-0.029,41,41,0.5,0.484,0.487,0.013,2015,3951,104.5,105.1,-0.5,61.9,1.69,18.1,25,73.7,49,14.5,51.1,54.4,49.7,1
IND,82,9.1,8.4,1.25,11.5,4.8,7.3,65.8,65.8,15.2,7.9,14.4,3.1,63.7,82.8,2015,cut,offense,IND2015,IND,East,Central,82,102.2,100.5,1.7,96.6,104.7,102.9,1.8,0.26,2.06,12.5,0.002,45,37,0.549,0.556,0.557,-0.008,2015,3976,103.8,102.2,1.6,55.4,1.43,16.1,27.1,71.4,49.4,15.1,49.7,53.6,51.8,0
DEN,82,9.5,8.7,1.19,11.4,4.8,7.8,61.7,61.7,15.1,6.6,13.8,3.4,60.3,31,2015,cut,offense,DEN2015,DEN,West,Northwest,82,101.9,105,-3.1,95.7,105.7,108.9,-3.2,1.1,-2.1,10.8,-0.024,33,49,0.402,0.398,0.384,0.018,2015,3966,104.9,108.2,-3.3,60.1,1.55,16.9,30.4,73.2,51.3,15.1,48.9,53.1,47.9,0
BKN,82,9.5,8.9,1.18,11.2,4.7,7.8,60,60,13.7,7.5,13,2.7,59.3,17.2,2015,cut,offense,BKN2015,BKN,East,Atlantic,82,98.6,106,-7.4,95.2,103.2,110.9,-7.7,0.39,-7.31,10.4,-0.062,21,61,0.256,0.256,0.229,0.027,2015,3951,102.4,109.7,-7.4,58.3,1.51,17,27.9,71.6,49.4,15.3,49.2,52.7,46,1
UTA,82,9.8,9.3,1.14,11.1,4.6,7.8,59.2,59.2,16,8.1,15.7,4.1,57.9,6.9,2015,cut,offense,UTA2015,UTA,West,Northwest,82,97.7,95.9,1.8,91,105.9,104,1.9,-0.1,1.8,14.9,0.029,40,42,0.488,0.559,0.551,-0.063,2015,3991,105,103.2,1.8,52.6,1.27,15.1,30.3,73.1,51.7,16.1,50.1,54,50.8,0
ATL,82,9,8.4,1.22,11,4.7,7.5,62.5,62.5,12.7,6.9,11.9,2.6,61,51.7,2015,cut,offense,ATL2015,ATL,East,Southeast,82,102.6,99.1,3.5,97,105,101.4,3.6,-0.69,2.91,13.9,0.031,48,34,0.585,0.615,0.602,-0.017,2015,3966,104.6,100.8,3.9,66.3,1.71,19,23.4,69.8,47.4,15.2,51.6,55.2,52.8,1
DAL,82,8.8,8.2,1.24,10.9,4.5,6.9,64.1,64.1,17.1,7.4,16.9,3.8,63,72.4,2015,cut,offense,DAL2015,DAL,West,Southwest,82,102.3,102.6,-0.3,94.3,106.7,107.1,-0.4,-0.64,-1.04,13.1,-0.02,42,40,0.512,0.49,0.488,0.024,2015,4001,105.5,105.9,-0.4,59.2,1.73,17,24.1,72.3,48.4,13.2,50.2,54.4,50.3,1
OKC,82,8.8,7.9,1.23,10.9,4.7,7.1,65.9,65.9,13.4,8.7,13.2,3,62.5,58.6,2015,cut,offense,OKC2015,OKC,West,Northwest,82,110.2,102.9,7.3,96.6,113.2,105.7,7.5,-1.17,6.33,13.5,0.109,55,27,0.671,0.74,0.711,-0.04,2015,3966,112.1,104.8,7.4,55.8,1.44,16.7,34.7,72,54.1,16.2,52.4,56.5,54.6,0
