team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef
GSW,82,12,10.7,1.25,14.9,6.4,9.9,64.5,64.5,14,6.6,13.5,3.8,62.9,75.9,2015,cut,offense
MIL,82,11.8,11.1,1.16,13.7,5.6,9.4,59.1,59.1,16.8,7,15.6,3.4,59.3,10.3,2015,cut,offense
WAS,82,9.5,8.8,1.22,11.6,4.9,7.8,62.1,62.1,15.3,6.1,14.3,3.6,61.7,41.4,2015,cut,offense
IND,82,9.1,8.4,1.25,11.5,4.8,7.3,65.8,65.8,15.2,7.9,14.4,3.1,63.7,82.8,2015,cut,offense
DEN,82,9.5,8.7,1.19,11.4,4.8,7.8,61.7,61.7,15.1,6.6,13.8,3.4,60.3,31,2015,cut,offense
BKN,82,9.5,8.9,1.18,11.2,4.7,7.8,60,60,13.7,7.5,13,2.7,59.3,17.2,2015,cut,offense
UTA,82,9.8,9.3,1.14,11.1,4.6,7.8,59.2,59.2,16,8.1,15.7,4.1,57.9,6.9,2015,cut,offense
ATL,82,9,8.4,1.22,11,4.7,7.5,62.5,62.5,12.7,6.9,11.9,2.6,61,51.7,2015,cut,offense
DAL,82,8.8,8.2,1.24,10.9,4.5,6.9,64.1,64.1,17.1,7.4,16.9,3.8,63,72.4,2015,cut,offense
OKC,82,8.8,7.9,1.23,10.9,4.7,7.1,65.9,65.9,13.4,8.7,13.2,3,62.5,58.6,2015,cut,offense
SAC,82,9.2,8.1,1.17,10.7,4.6,7.6,60.8,60.8,13.4,6.1,12.9,2.3,60.2,13.8,2015,cut,offense
CHI,82,8.6,7.9,1.22,10.5,4.4,7.2,61,61,14,6.2,13.4,4.1,60.8,44.8,2015,cut,offense
POR,82,8.5,7.7,1.22,10.3,4.2,6.6,63.2,63.2,18.8,6.9,18.4,4.2,61.7,48.3,2015,cut,offense
MEM,82,8.4,7.9,1.21,10.2,4.1,6.8,60.4,60.4,16.2,5.8,15.2,2.6,61.6,37.9,2015,cut,offense
SAS,82,7.9,7.6,1.27,10,4.3,6.8,62.6,62.6,13.8,5.1,13.8,5.6,62.4,93.1,2015,cut,offense
PHI,82,9.1,8.4,1.08,9.8,4,7.3,54.8,54.8,15.6,6.5,14.7,2.7,55.8,0,2015,cut,offense
HOU,82,8.3,7.4,1.18,9.8,4.1,6.4,63.1,63.1,19,7.4,17.6,4.3,60.9,24.1,2015,cut,offense
MIN,82,7.3,6.8,1.34,9.7,3.9,5.7,67.1,67.1,20.3,5,18.8,5,67.2,100,2015,cut,offense
BOS,82,7.7,6.8,1.26,9.7,4.1,6.6,62.9,62.9,13.8,4.3,13.3,3.3,63.6,86.2,2015,cut,offense
NYK,82,8.2,7.7,1.18,9.6,3.8,6.6,58.6,58.6,17,6.4,16.3,4.3,59.2,20.7,2015,cut,offense
